Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Page Quantity (product.metafields.custom.page_quantity),Page size (product.metafields.custom.page_size),page weight (product.metafields.custom.page_weight),Color (product.metafields.shopify.color-pattern),Page size (product.metafields.shopify.page-size),Paper type (product.metafields.shopify.paper-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
מארז-מחברות-1,מארז מחברות,"<p><strong>שני גדלים. לכל מחשבה</strong></p>
<p>המארז כולל 4 מחברות. 2 מכל גודל</p>",MothersDay,Uncategorized,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,67.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/1_600x750_54099ef4-2a58-4402-9592-a76d0a74d50e.png?v=1770752628,1,"",false,,,,,,,,,,kg,,,draft
מארז-מחברות-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/2_600x750_cec634c2-ce7d-4670-bcee-edc2181790c1.png?v=1770752628,2,"",,,,,,,,,,,,,,
מארז-מחברות-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/ba95362efcce05e203f008c02b7e0485.png?v=1770752628,3,"",,,,,,,,,,,,,,
מארז-מחברות-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/3_d2862523-23ee-4aba-99c6-1496e1f1cff9.png?v=1770738258,4,"",,,,,,,,,,,,,,
מארז-מחברות-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/600x750.png?v=1770720490,5,"",,,,,,,,,,,,,,
מארז-מחברות-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0232-Edit.jpg?v=1771313562,6,"",,,,,,,,,,,,,,
מארז-בלוקים-2,מארז בלוקים,"<p><strong>שלושה גדלים. לכל משימה</strong></p>
<p>המארז כולל 3 בלוקים. אחד מכל גודל</p>",MothersDay,Uncategorized,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,199,deny,manual,115.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0219-Edit_7ad4029f-43e7-4cf0-93f1-3c2c85cf94a5.jpg?v=1770563851,1,"",false,,,,,,,,,,kg,,,draft
מארז-בלוקים-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0221_7f32bdfe-06a4-4cac-9300-781ebedf219f.jpg?v=1770563944,2,"",,,,,,,,,,,,,,
מארז-בלוקים-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/6f5faabd2ade8f5a565a25155e2d60db.png?v=1770752288,3,"",,,,,,,,,,,,,,
מארז-בלוקים-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/3_c7872c18-04a7-4cc4-9ce8-46ecc7183ac5.png?v=1770735566,4,"",,,,,,,,,,,,,,
מארז-בלוקים-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0218-Edit-2_1493d0ed-54b6-43b9-9de3-2e13d07ef0a0.jpg?v=1771313896,5,"",,,,,,,,,,,,,,
מארז-בלוקים-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0217-Edit-2_8824c653-af2b-426c-b739-1971ef7b70d7.jpg?v=1771313640,6,"",,,,,,,,,,,,,,
מארז-בלוקים-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0214-Edit-3_5ce933fb-ef1a-41bd-8782-4348946fd945.jpg?v=1771313562,7,"",,,,,,,,,,,,,,
